date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2016-09-01,surface,0.340327619524793,14.6195739032025,,,12.7740006299587,331.52159480532,,,,river_tributary,holtgrieve,42.9573536335844,,high,103.2122,13.12787,,4.44
2016-09-01,surface,0.130575528125,21.609217890625,,,20.86804890625,103.441011398437,,,,river_tributary,holtgrieve,165.492096420537,,high,103.92517,12.55206,,4.44
2016-09-01,surface,0.0861066297520661,14.7965459429753,,,10.739224477686,161.53255031157,,,,river_tributary,holtgrieve,171.839798928145,,high,,,,4.44
2016-09-01,surface,0.357813399405992,2.10926690457128,,,0.560703569266529,119.745696868582,,,,river_tributary,holtgrieve,5.8948795882795,,high,,,,4.44
2016-09-01,surface,0.602302471177686,7.58651450609505,,,6.3635571946281,83.0470142160641,,,,river_tributary,holtgrieve,12.595854855553,,high,,,,4.44
2016-09-01,surface,0.475478297339876,16.6887782248192,,,13.9031371367252,153.599841667652,,,,river_tributary,holtgrieve,35.0989273710003,,high,,,,4.44
2016-09-01,surface,0.25456677419938,21.7153563888688,,,21.1743522040806,173.951171321785,,,,river_tonlesap,holtgrieve,85.303184035561,,high,,,,4.44
2016-09-01,surface,0.105274393078512,24.4765206569215,,,22.3080793520661,151.096867497056,,,,river_tonlesap,holtgrieve,232.502130301215,,high,,,,4.44
2016-09-01,surface,1.91727656407541,73.438498635873,,,30.3868011145145,174.364388005979,,,,river_tributary,holtgrieve,38.3035499478335,,high,,,,4.44
2016-09-01,surface,0.122751646280992,4.77778689586777,,,2.98265356528926,171.111393391736,,,,river_tributary,holtgrieve,38.9223854882638,,high,102.98199,13.57398,,4.44
2016-09-01,surface,0.1345252125,20.4214759375,,,17.54764305,186.68174011875,,,,river_mekong,holtgrieve,151.804078640649,,high,,,,4.44
2016-09-01,surface,0.200396553331612,22.4108393256457,,,21.9178164577996,150.210317064553,,,,river_mekong,holtgrieve,111.832458957319,,high,,,,4.44
2016-09-01,surface,0.30278541446281,13.5604376400826,,,11.3919170561983,182.867784625826,,,,river_tributary,holtgrieve,44.785636930831,,high,,,,4.44
2016-09-01,surface,0.254259420893595,16.1122117660383,,,14.8011212520145,255.216040310524,,,,river_tributary,holtgrieve,63.3691829762369,,high,,,,4.44
